name,chi2,Z,P,P.adjusted,comparisons
chloride_mgl,457.2877437166153,12.829211142978656,5.625191069990534e-38,1.8563130530968763e-36,Lake Banook 2 - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,12.854115970322194,4.077642333794138e-38,2.691243940304131e-36,Lake Banook 1 - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,12.73517363796084,1.885032064534423e-37,4.147070541975731e-36,Lake Banook 1 - Tower Road Reservoir
chloride_mgl,457.2877437166153,12.712038152047084,2.5347832967765014e-37,4.182392439681228e-36,Lake Banook 2 - Tower Road Reservoir
chloride_mgl,457.2877437166153,11.641569875792449,1.2665481560419128e-31,1.6718435659753248e-30,Penhorn Lake - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,11.53996222104479,4.148082511380457e-31,3.4221680718888776e-30,Penhorn Lake - Tower Road Reservoir
chloride_mgl,457.2877437166153,-11.562914115502101,3.175803226570667e-31,3.493383549227734e-30,INP - Lake Banook 1
chloride_mgl,457.2877437166153,-11.541341049871606,4.082117518004449e-31,3.848853659832767e-30,INP - Lake Banook 2
chloride_mgl,457.2877437166153,-10.30415838954667,3.3739863508198887e-25,2.4742566572679184e-24,INP - Penhorn Lake
chloride_mgl,457.2877437166153,9.33223240507433,5.1832037860060885e-21,3.420914498764018e-20,Lake Banook 1 - Lake Fletcher
chloride_mgl,457.2877437166153,9.320435999749824,5.793159843009326e-21,3.4758959058055955e-20,Lake Banook 2 - Lake Fletcher
chloride_mgl,457.2877437166153,-8.040923490836796,4.458195938531954e-16,2.452007766192575e-15,Lake Fletcher - Penhorn Lake
chloride_mgl,457.2877437166153,7.598732201816274,1.495229447915443e-14,7.591164889416863e-14,Shubenacadie Canal - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,7.567691597512406,1.8995730132444555e-14,8.955129919581005e-14,Shubenacadie Canal - Tower Road Reservoir
chloride_mgl,457.2877437166153,7.425884134469636,5.6014517583321404e-14,2.464638773666142e-13,Lake Charles 2 - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,7.389277069374614,7.381462839904158e-14,3.0448534214604654e-13,Lake Charles 2 - Tower Road Reservoir
chloride_mgl,457.2877437166153,-7.314099754677754,1.2955630346786896e-13,4.750397793821861e-13,Cunard Pond - Lake Banook 2
chloride_mgl,457.2877437166153,-7.317030883357754,1.2675876201670703e-13,4.921222525354509e-13,Cunard Pond - Lake Banook 1
chloride_mgl,457.2877437166153,7.2357141371469345,2.3154291297492446e-13,8.04306960860264e-13,Lake Charles 1 - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,7.2026610257982835,2.9524321460207995e-13,9.743026081868637e-13,Lake Charles 1 - Tower Road Reservoir
chloride_mgl,457.2877437166153,-6.859093127100299,3.464952708875428e-12,1.0394858126626284e-11,Kearney Lake - Lake Banook 2
chloride_mgl,457.2877437166153,-6.859416663999875,3.4571149587877496e-12,1.0865218441904355e-11,Kearney Lake - Lake Banook 1
chloride_mgl,457.2877437166153,6.562601852942361,2.643844905997528e-11,7.586685382427689e-11,Kearney Lake - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,6.538783138405895,3.1010689474221736e-11,8.527939605410978e-11,Kearney Lake - Tower Road Reservoir
chloride_mgl,457.2877437166153,6.193169351719382,2.9483156519745473e-10,7.484185885781543e-10,Cunard Pond - Turtle Creek Reservoir
chloride_mgl,457.2877437166153,-6.194314116498482,2.92696899201546e-10,7.727198138920815e-10,INP - Shubenacadie Canal
chloride_mgl,457.2877437166153,6.174628888334547,3.315953047102637e-10,8.105663004028669e-10,Cunard Pond - Tower Road Reservoir
chloride_mgl,457.2877437166153,6.01126158800402,9.204254233925791e-10,2.0947613084106975e-9,Lake Banook 1 - Lake Charles 1
chloride_mgl,457.2877437166153,6.015675354587021,8.956913262472686e-10,2.1112724118685618e-9,Lake Banook 2 - Lake Charles 1
chloride_mgl,457.2877437166153,-5.976093422516169,1.1427598262311668e-9,2.514071617708567e-9,Cunard Pond - Penhorn Lake
chloride_mgl,457.2877437166153,-5.941908702423474,1.4086115966504103e-9,2.9989795283524863e-9,INP - Lake Charles 2
chloride_mgl,457.2877437166153,5.872006981311083,2.1527530423844485e-9,4.305506084768897e-9,Lake Banook 1 - Lake Charles 2
chloride_mgl,457.2877437166153,5.8770131652287265,2.0886749888167546e-9,4.3078921644345564e-9,Lake Banook 2 - Lake Charles 2
chloride_mgl,457.2877437166153,-5.750976563818644,4.4364707918391266e-9,8.61197271357007e-9,INP - Lake Charles 1
chloride_mgl,457.2877437166153,-5.522346251025131,1.6725123477230693e-8,3.1538804271349307e-8,Kearney Lake - Penhorn Lake
chloride_mgl,457.2877437166153,-5.042714034949234,2.2948745692397026e-7,4.207270043606121e-7,INP - Kearney Lake
chloride_mgl,457.2877437166153,4.8875679863395884,5.104462304338936e-7,9.105257083415399e-7,Lake Banook 2 - Shubenacadie Canal
chloride_mgl,457.2877437166153,4.876502719999194,5.399159995802053e-7,9.377488413761461e-7,Lake Banook 1 - Shubenacadie Canal
chloride_mgl,457.2877437166153,-4.6828798765765365,1.4143614907546882e-6,2.393534830507934e-6,Lake Charles 1 - Penhorn Lake
chloride_mgl,457.2877437166153,4.654468360783109,1.6240885362769012e-6,2.6797460848568867e-6,Cunard Pond - INP
chloride_mgl,457.2877437166153,-4.5363104526350515,2.8623446380481534e-6,4.607676734418979e-6,Lake Charles 2 - Penhorn Lake
chloride_mgl,457.2877437166153,-3.994291902966647,3.244394129452962e-5,5.0983336319975114e-5,Lake Fletcher - Shubenacadie Canal
