model,specificity,lower,upper,sensitivity,model_type
full_test_2024,0,1,1,1,Tested on 2024
full_test_2024,0.0034482758620689724,1,1,1,Tested on 2024
full_test_2024,0.006896551724137945,1,1,1,Tested on 2024
full_test_2024,0.010344827586206917,1,1,1,Tested on 2024
full_test_2024,0.01379310344827589,1,1,1,Tested on 2024
full_test_2024,0.017241379310344862,1,1,1,Tested on 2024
full_test_2024,0.020689655172413834,1,1,1,Tested on 2024
full_test_2024,0.024137931034482807,1,1,1,Tested on 2024
full_test_2024,0.02758620689655178,1,1,1,Tested on 2024
full_test_2024,0.03103448275862064,1,1,1,Tested on 2024
full_test_2024,0.03448275862068961,1,1,1,Tested on 2024
full_test_2024,0.037931034482758585,1,1,1,Tested on 2024
full_test_2024,0.04137931034482756,1,1,1,Tested on 2024
full_test_2024,0.04482758620689653,1,1,1,Tested on 2024
full_test_2024,0.0482758620689655,1,1,1,Tested on 2024
full_test_2024,0.051724137931034475,1,1,1,Tested on 2024
full_test_2024,0.05517241379310345,1,1,1,Tested on 2024
full_test_2024,0.05862068965517242,1,1,1,Tested on 2024
full_test_2024,0.06206896551724139,1,1,1,Tested on 2024
full_test_2024,0.06551724137931036,1,1,1,Tested on 2024
full_test_2024,0.06896551724137934,1,1,1,Tested on 2024
full_test_2024,0.07241379310344831,1,1,1,Tested on 2024
full_test_2024,0.07586206896551728,1,1,1,Tested on 2024
full_test_2024,0.07931034482758625,1,1,1,Tested on 2024
full_test_2024,0.08275862068965523,1,1,1,Tested on 2024
full_test_2024,0.08620689655172409,1,1,1,Tested on 2024
full_test_2024,0.08965517241379306,1,1,1,Tested on 2024
full_test_2024,0.09310344827586203,1,1,1,Tested on 2024
full_test_2024,0.096551724137931,1,1,1,Tested on 2024
full_test_2024,0.09999999999999998,1,1,1,Tested on 2024
full_test_2024,0.10344827586206895,1,1,1,Tested on 2024
full_test_2024,0.10689655172413792,1,1,1,Tested on 2024
full_test_2024,0.1103448275862069,1,1,1,Tested on 2024
full_test_2024,0.11379310344827587,1,1,1,Tested on 2024
full_test_2024,0.11724137931034484,1,1,1,Tested on 2024
full_test_2024,0.12068965517241381,1,1,1,Tested on 2024
full_test_2024,0.12413793103448278,1,1,1,Tested on 2024
full_test_2024,0.12758620689655176,1,1,1,Tested on 2024
full_test_2024,0.13103448275862073,0.9868421052631579,1,1,Tested on 2024
full_test_2024,0.1344827586206897,0.9868421052631579,1,1,Tested on 2024
full_test_2024,0.13793103448275867,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.14137931034482754,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.1448275862068965,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.14827586206896548,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.15172413793103445,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.15517241379310343,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.1586206896551724,0.9736842105263157,1,1,Tested on 2024
