id,sample,location,sample_date,sample_time,hour,wday,week,month,year,notes,duplicate,temp_field,do_field,cond_field,ph_field,tds_field,turbidity_field,chl_a,phycocyanin,al,p,fe,fluoride,chloride,nitrite,bromide,nitrate,phosphate,sulfate,uv_254,turbidity,colour,doc,toc,tn,ph_lab,rdl_al,rdl_p,rdl_fe,rdl_fluoride,rdl_chloride,rdl_nitrite,rdl_bromide,rdl_nitrate,rdl_phosphate,rdl_sulfate,chlorophyll_a,alkalinity,dn,ul_p,ul_al,ul_fe,cyra,mcye_ndaf,sxta,total_cyano,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr,passive_mclr,spe_grab_mclr,grab_mclr_lod,passive_mclr_lod,spe_grab_mclr_lod
exfcb-265,col_080123,Collins Park,2023-08-01,00:00:00,0,3,31,8,2023,NA,NA,24.8,5.14,154.7,7.16,100.9,NA,NA,NA,66.30508054588732,8.308264449433775,139.94042368335616,20.5097,43327.3503,4.0685,21.321,300.4705,3.4018,16328.0446,0.26733333333333337,1.273,38.333333333333336,5.782,5.986,0.232,NA,2,5,2,9,12,9,9,10,10,9,NA,13.5246,0.178,250,1000,1000,8.916130010616337,284.1197537976993,0,11365.25808974356,2.25,2.25,2.25,2.25,0,0.00677916736842105,3.918730592105263e-4,0.22114,0.00631578947368421,0.00533827242598684
wnoda-322,col_080823,Collins Park,2023-08-08,11:10:00,11,3,32,8,2023,NA,NA,23.4,6.21,134.5,7.19,90.2,NA,NA,NA,133.5140003035176,18.485170659805917,211.29630001184603,NA,NA,NA,NA,NA,NA,NA,0.3116666666666667,1.9026666666666667,53.333333333333336,6.639,6.551,0.1978,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,10.779,0.2154,250,1000,1000,0,26.33520547902761,0,14503.366933313537,6.545454545454546,6.545454545454546,6.545454545454546,6.545454545454546,0,0,0.0276189046875,0.22114,0.00631578947368421,0.00533827242598684
exsgy-353,col_081523,Collins Park,2023-08-15,10:47:00,10,3,33,8,2023,Oasis missing,NA,23.2,5.08,138.7,7.26,93.4,NA,NA,NA,78.01673987561233,9.382183097168149,185.95477809566492,NA,NA,NA,NA,NA,NA,NA,0.289,0.974,48,6.115,5.982,0.1934,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,13.6458,0.1998,250,1000,1000,0,64.25743673071716,0,27310.0233963672,3,3,3,3,0,NA,0.02344952450657895,0.22114,NA,0.00533827242598684
qklcv-374,col_082223,Collins Park,2023-08-22,11:04:00,11,3,34,8,2023,NA,NA,22.2,6.87,144.6,NA,99.2,NA,NA,NA,72.12601347085084,7.079849737964248,175.1680392196012,NA,NA,NA,NA,NA,NA,NA,0.30433333333333334,1.005,49.333333333333336,6.369,6.06,0.2236,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,16.0417,0.2044,250,1000,1000,319.648761336225,9.913791349605225,0,3987.081971716753,3.6,3.6,3.6,3.6,0,0,0.02947286184210526,0.22114,0.00631578947368421,0.00533827242598684
npiwx-417,col_082923,Collins Park,2023-08-29,11:43:00,11,3,35,8,2023,NA,NA,22.4,7.36,140.5,6.72,96.2,NA,NA,NA,58.94973880481256,10.266195343211011,203.31867266079368,26.267,39120.6456,4.232,24.485,376.6816,NA,7893.4164,0.29066666666666663,2.39,48.666666666666664,6.6579999999999995,6.084,0.191,NA,2,5,2,9,12,9,9,10,10,9,NA,15.7209,0.2594,250,1000,1000,312.45014173337216,243.5648966657081,0,59973.50647887632,4.5,4.5,4.5,4.5,0.10523796,0.07030582315789474,0.05876664588815789,0.22114,0.00631578947368421,0.00533827242598684
ggkue-463,NA,Collins Park,2023-09-06,10:21:00,10,4,36,9,2023,"Complete water quality, and pigments (?)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,0.945,48.666666666666664,6.74,6.501,0.2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04394188838404605,0.22114,NA,0.00533827242598684
btzbt-1025,NA,Collins Park,2023-09-06,10:27:00,10,4,36,9,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04094202302631579,0.22114,0.00631578947368421,0.00533827242598684
ztebq-465,NA,Collins Park,2023-09-06,10:30:00,10,4,36,9,2023,Just toxins,NA,21.1,6.18,144.3,7.37,101.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02637103113486842,0.22114,NA,0.00533827242598684
pfqmt-466,NA,Collins Park,2023-09-06,10:32:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04370276490953948,0.22114,NA,0.00533827242598684
pvyum-467,NA,Collins Park,2023-09-06,10:33:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03574629934210526,0.22114,NA,0.00533827242598684
txfym-468,NA,Collins Park,2023-09-06,10:34:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04186569004111842,0.22114,NA,0.00533827242598684
dmspm-1024,NA,Collins Park,2023-09-06,10:35:00,10,4,36,9,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04424282894736842,0.22114,NA,0.00533827242598684
tdrbz-469,NA,Collins Park,2023-09-06,10:36:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04691117607730263,0.22114,NA,0.00533827242598684
dkcau-470,NA,Collins Park,2023-09-06,10:38:00,10,4,36,9,2023,"Complete water quality, and pigments",NA,21,5.04,146.7,6.98,107.1,NA,NA,NA,68.57279725494223,21.93186866173875,164.36225764499665,NA,NA,NA,NA,NA,NA,NA,0.2803333333333333,1.596666666666667,44.666666666666664,6.795,6.621999999999999,0.2585,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3081,250,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04364781497532894,0.22114,0.00631578947368421,0.00533827242598684
kfdav-471,NA,Collins Park,2023-09-06,10:42:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04197880422286184,0.22114,NA,0.00533827242598684
iachk-472,NA,Collins Park,2023-09-06,10:47:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05227103233963817,0.22114,NA,0.00533827242598684
rpncn-473,NA,Collins Park,2023-09-06,10:52:00,10,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04730414470805921,0.22114,NA,0.00533827242598684
lbjkp-474,NA,Collins Park,2023-09-06,10:57:00,10,4,36,9,2023,"Total water quality, toxins, and pigments",NA,21.1,5.05,146,6.99,102.4,NA,NA,NA,64.66158752494843,9.217582055851846,166.31559991406178,NA,NA,NA,NA,NA,NA,NA,0.2816666666666667,1.1966666666666663,46.333333333333336,6.486000000000001,6.694999999999999,0.28140000000000004,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29230000000000006,250,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04121228798519737,0.22114,0.00631578947368421,0.00533827242598684
jcizn-476,NA,Collins Park,2023-09-06,11:02:00,11,4,36,9,2023,Just toxins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07988009769736842,0.22114,NA,0.00533827242598684
