station_name,date_time,cool_deg_days_c,heat_deg_days_c,max_temp_c,mean_temp_c,min_temp_c,total_precip_mm,region
SHEARWATER RCS,2022-08-31,4.5,0,25,22.5,20,0.9,ns
SHEARWATER RCS,2022-09-01,4,0,27,22,16.9,0,ns
SHEARWATER RCS,2022-09-02,0,0.7,23.1,17.3,11.6,0,ns
SHEARWATER RCS,2022-09-03,0,1.8,21.9,16.2,10.5,0,ns
SHEARWATER RCS,2022-09-04,0,0.3,23.5,17.7,11.8,0,ns
SHEARWATER RCS,2022-09-05,0.4,0,21.9,18.4,15,0,ns
SHEARWATER RCS,2022-09-06,0,0.2,22.1,17.8,13.6,1.5,ns
SHEARWATER RCS,2022-09-07,0,0.7,22,17.3,12.5,0,ns
SHEARWATER RCS,2022-09-08,0,0.9,22.5,17.1,11.6,0,ns
SHEARWATER RCS,2022-09-09,0.8,0,23,18.8,14.6,0,ns
SHEARWATER RCS,2022-09-10,0.8,0,24.6,18.8,13,0,ns
SHEARWATER RCS,2022-09-11,3.1,0,27.5,21.1,14.7,0,ns
SHEARWATER RCS,2022-09-12,1.9,0,26.7,19.9,13,0,ns
SHEARWATER RCS,2022-09-13,1.5,0,23.8,19.5,15.3,0,ns
SHEARWATER RCS,2022-09-14,3.6,0,25.7,21.6,17.4,0,ns
SHEARWATER RCS,2022-09-15,0,2.4,19.1,15.6,12.1,0,ns
SHEARWATER RCS,2022-09-16,0,3.9,17.6,14.1,10.6,0,ns
SHEARWATER RCS,2022-09-17,0,3.4,19.7,14.6,9.5,0,ns
SHEARWATER RCS,2022-09-18,0,4.8,16.2,13.2,10.2,5,ns
SHEARWATER RCS,2022-09-19,0,4,18.1,14,9.9,0.4,ns
SHEARWATER RCS,2022-09-20,0,4,16.9,14,11.1,12.3,ns
SHEARWATER RCS,2022-09-21,0.9,0,22,18.9,15.7,0.2,ns
SHEARWATER RCS,2022-09-22,0,0.7,19.8,17.3,14.7,0.6,ns
SHEARWATER RCS,2022-09-23,0,4.4,17,13.6,10.2,56.1,ns
SHEARWATER RCS,2022-09-24,0,6.7,13.4,11.3,9.3,17.7,ns
SHEARWATER RCS,2022-09-25,0,2.4,20.2,15.6,10.9,0,ns
SHEARWATER RCS,2022-09-26,0,1.4,18.3,16.6,15,19.3,ns
SHEARWATER RCS,2022-09-27,0,1.5,18.3,16.5,14.8,28.9,ns
SHEARWATER RCS,2022-09-28,0,2.5,18.1,15.5,12.8,0.2,ns
SHEARWATER RCS,2022-09-29,0,2.9,20.8,15.1,9.4,0,ns
SHEARWATER RCS,2022-09-30,0,6.1,16.7,11.9,7.1,0,ns
SHEARWATER RCS,2022-10-01,0,4.6,19.5,13.4,7.3,0,ns
SHEARWATER RCS,2022-10-02,0,9.1,12.7,8.9,5.2,0,ns
SHEARWATER RCS,2022-10-03,0,8.6,14.8,9.4,4.1,0,ns
SHEARWATER RCS,2022-10-04,0,8.3,15.7,9.7,3.7,0,ns
SHEARWATER RCS,2022-10-05,0,4.3,17.3,13.7,10.1,0,ns
SHEARWATER RCS,2022-10-06,0,3.2,16.2,14.8,13.4,53.5,ns
SHEARWATER RCS,2022-10-07,0,2.2,18.9,15.8,12.6,0,ns
SHEARWATER RCS,2022-10-08,0,6.3,18,11.7,5.4,0,ns
SHEARWATER RCS,2022-10-09,0,9.1,14.7,8.9,3.1,0.2,ns
SHEARWATER RCS,2022-10-10,0,8.8,14.2,9.2,4.2,0,ns
SHEARWATER RCS,2022-10-11,0,6.8,15.5,11.2,6.9,0.2,ns
SHEARWATER RCS,2022-10-12,0,5.6,17.5,12.4,7.3,0,ns
SHEARWATER RCS,2022-10-13,0,5.9,16.7,12.1,7.6,0,ns
SHEARWATER RCS,2022-10-14,0,2.1,19.6,15.9,12.3,0,ns
SHEARWATER RCS,2022-10-15,0,2.4,16.9,15.6,14.3,0,ns
SHEARWATER RCS,2022-10-16,0,2.2,20.3,15.8,11.2,0.2,ns
SHEARWATER RCS,2022-10-17,0,4.4,17.6,13.6,9.5,0.5,ns
SHEARWATER RCS,2022-10-18,0,2,18.8,16,13.1,0,ns
SHEARWATER RCS,2022-10-19,0,3.1,18.6,14.9,11.1,24.8,ns
SHEARWATER RCS,2022-10-20,0,5,15.7,13,10.4,0,ns
SHEARWATER RCS,2022-10-21,0,5.4,17,12.6,8.3,0,ns
SHEARWATER RCS,2022-10-22,0,6.7,17.3,11.3,5.2,0.3,ns
SHEARWATER RCS,2022-10-23,0,6,16.6,12,7.4,0.2,ns
SHEARWATER RCS,2022-10-24,0,3.9,17.4,14.1,10.8,5.9,ns
SHEARWATER RCS,2022-10-25,0,2.2,17.2,15.8,14.3,0.2,ns
SHEARWATER RCS,2022-10-26,0,1.8,17.7,16.2,14.7,31.3,ns
SHEARWATER RCS,2022-10-27,0,3.6,20.8,14.4,8.1,0.4,ns
SHEARWATER RCS,2022-10-28,0,10.8,12.5,7.2,1.9,0,ns
SHEARWATER RCS,2022-10-29,0,10.6,14.5,7.4,0.4,0,ns
SHEARWATER RCS,2022-10-30,0,6,18.9,12,5.2,0,ns
SHEARWATER RCS,2022-10-31,0,7,18.5,11,3.5,0,ns
SHEARWATER RCS,2022-11-01,0,5.1,15.1,12.9,10.6,2.7,ns
SHEARWATER RCS,2022-11-02,0,7.9,15.8,10.1,4.4,0,ns
SHEARWATER RCS,2022-11-03,0,9.4,14.4,8.6,2.8,0,ns
SHEARWATER RCS,2022-11-04,0,4.3,19.3,13.7,8.1,0,ns
SHEARWATER RCS,2022-11-05,0,1.4,20.4,16.6,12.8,0,ns
SHEARWATER RCS,2022-11-06,0,1,20.8,17,13.3,0,ns
SHEARWATER RCS,2022-11-07,0,3.8,18.4,14.2,9.9,1.8,ns
SHEARWATER RCS,2022-11-08,0,11.3,10,6.7,3.3,0,ns
SHEARWATER RCS,2022-11-09,0,13,7.9,5,2.1,0,ns
SHEARWATER RCS,2022-11-10,0,8.1,16,9.9,3.9,0,ns
SHEARWATER RCS,2022-11-11,0,4,18.6,14,9.3,0,ns
SHEARWATER RCS,2022-11-12,0,5.9,17.8,12.1,6.3,32,ns
SHEARWATER RCS,2022-11-13,0,9.7,11.6,8.3,4.9,6,ns
SHEARWATER RCS,2022-11-14,0,10.1,13.4,7.9,2.4,0.2,ns
SHEARWATER RCS,2022-11-15,0,14.9,5.4,3.1,0.8,0,ns
SHEARWATER RCS,2022-11-16,0,10.9,14.3,7.1,-0.2,30.5,ns
SHEARWATER RCS,2022-11-17,0,12,11.3,6,0.6,0,ns
SHEARWATER RCS,2022-11-18,0,16.2,4.5,1.8,-0.9,0,ns
SHEARWATER RCS,2022-11-19,0,15.6,7.7,2.4,-2.8,0.7,ns
SHEARWATER RCS,2022-11-20,0,14.9,8.3,3.1,-2,0.9,ns
SHEARWATER RCS,2022-11-21,0,16.8,5.8,1.2,-3.4,0.3,ns
SHEARWATER RCS,2022-11-22,0,15.6,6.7,2.4,-1.9,0.5,ns
SHEARWATER RCS,2022-11-23,0,17.5,5.7,0.5,-4.7,0.2,ns
SHEARWATER RCS,2022-11-24,0,19.8,2.2,-1.8,-5.9,NA,ns
SHEARWATER RCS,2022-11-25,0,16.2,9.3,1.8,-5.7,17.2,ns
SHEARWATER RCS,2022-11-26,0,13.2,7.8,4.8,1.9,0,ns
SHEARWATER RCS,2022-11-27,0,13.2,10,4.8,-0.4,1,ns
SHEARWATER RCS,2022-11-28,0,10.8,12.8,7.2,1.6,8.1,ns
SHEARWATER RCS,2022-11-29,0,19.4,2.3,-1.4,-5.1,0,ns
SHEARWATER RCS,2022-11-30,0,15.1,11,2.9,-5.2,0,ns
SHEARWATER RCS,2022-12-01,0,11.7,12.2,6.3,0.4,20.9,ns
SHEARWATER RCS,2022-12-02,0,17.7,4,0.3,-3.3,0,ns
SHEARWATER RCS,2022-12-03,0,14.2,10.4,3.8,-2.8,11.9,ns
SHEARWATER RCS,2022-12-04,0,13.2,11.4,4.8,-1.9,5.1,ns
SHEARWATER RCS,2022-12-05,0,17.8,3.9,0.2,-3.5,0,ns
SHEARWATER RCS,2022-12-06,0,14.9,7.3,3.1,-1.2,0,ns
SHEARWATER RCS,2022-12-07,0,10.3,8.5,7.7,7,2.7,ns
SHEARWATER RCS,2022-12-08,0,11.1,9.7,6.9,4,30.5,ns
SHEARWATER RCS,2022-12-09,0,13.2,6.7,4.8,3,11.5,ns
SHEARWATER RCS,2022-12-10,0,18.2,3.1,-0.2,-3.5,0,ns
SHEARWATER RCS,2022-12-11,0,21.4,-2.5,-3.4,-4.4,0,ns
SHEARWATER RCS,2022-12-12,0,21.8,-2.4,-3.8,-5.1,0,ns
SHEARWATER RCS,2022-12-13,0,21,-0.6,-3,-5.4,0,ns
SHEARWATER RCS,2022-12-14,0,20.4,1,-2.4,-5.8,0,ns
SHEARWATER RCS,2022-12-15,0,15,5,3,1,0,ns
SHEARWATER RCS,2022-12-16,0,14.7,4.2,3.3,2.4,0.2,ns
SHEARWATER RCS,2022-12-17,0,14,5.7,4,2.3,28.9,ns
SHEARWATER RCS,2022-12-18,0,14.6,5.2,3.4,1.6,1.4,ns
SHEARWATER RCS,2022-12-19,0,16,3.1,2,0.8,1.7,ns
SHEARWATER RCS,2022-12-20,0,15,5,3,0.9,0.4,ns
SHEARWATER RCS,2022-12-21,0,15.2,4.8,2.8,0.7,0,ns
SHEARWATER RCS,2022-12-22,0,17.8,3.3,0.2,-2.8,0,ns
SHEARWATER RCS,2022-12-23,0,12.9,12.9,5.1,-2.8,21.2,ns
SHEARWATER RCS,2022-12-24,0,11.2,12.2,6.8,1.4,0.2,ns
SHEARWATER RCS,2022-12-25,0,17.6,1.7,0.4,-0.8,0,ns
SHEARWATER RCS,2022-12-26,0,17.3,2.4,0.7,-1,0,ns
SHEARWATER RCS,2022-12-27,0,17.2,4.2,0.8,-2.6,0,ns
SHEARWATER RCS,2022-12-28,0,20.5,1.5,-2.5,-6.4,0,ns
SHEARWATER RCS,2022-12-29,0,17.4,3.2,0.6,-2.1,0,ns
SHEARWATER RCS,2022-12-30,0,13.6,7.8,4.4,1.1,0,ns
SHEARWATER RCS,2022-12-31,0,9.2,12.3,8.8,5.3,6.4,ns
SHEARWATER RCS,2023-04-01,0,14.2,7.8,3.8,-0.2,17.5,ns
SHEARWATER RCS,2023-04-02,0,14.7,8.4,3.3,-1.8,0,ns
SHEARWATER RCS,2023-04-03,0,15.2,8.3,2.8,-2.7,0,ns
SHEARWATER RCS,2023-04-04,0,11.6,10.6,6.4,2.2,0.2,ns
SHEARWATER RCS,2023-04-05,0,15.5,5.4,2.5,-0.4,3.6,ns
SHEARWATER RCS,2023-04-06,0,16.6,2.9,1.4,-0.1,10.1,ns
SHEARWATER RCS,2023-04-07,0,12,12.7,6,-0.6,0.8,ns
SHEARWATER RCS,2023-04-08,0,16.7,5.4,1.3,-2.9,0,ns
SHEARWATER RCS,2023-04-09,0,16.4,6.6,1.6,-3.3,0,ns
SHEARWATER RCS,2023-04-10,0,10.1,15.2,7.9,0.5,0,ns
SHEARWATER RCS,2023-04-11,0,9.3,16.1,8.7,1.3,0,ns
SHEARWATER RCS,2023-04-12,0,9.7,12.7,8.3,3.9,0,ns
SHEARWATER RCS,2023-04-13,0,7,18.5,11,3.5,0,ns
SHEARWATER RCS,2023-04-14,0,7.9,16.6,10.1,3.5,0,ns
SHEARWATER RCS,2023-04-15,0,13,9.6,5,0.3,0.5,ns
SHEARWATER RCS,2023-04-16,0,11,9.7,7,4.3,0,ns
SHEARWATER RCS,2023-04-17,0,9.8,12.5,8.2,3.8,0,ns
SHEARWATER RCS,2023-04-18,0,10.8,11.6,7.2,2.9,10.1,ns
SHEARWATER RCS,2023-04-19,0,10.7,12.2,7.3,2.4,0,ns
SHEARWATER RCS,2023-04-20,0,9,13.6,9,4.4,0,ns
SHEARWATER RCS,2023-04-21,0,11.6,11.2,6.4,1.6,0,ns
SHEARWATER RCS,2023-04-22,0,10,15.6,8,0.4,0,ns
SHEARWATER RCS,2023-04-23,0,12,10.8,6,1.2,0.2,ns
SHEARWATER RCS,2023-04-24,0,12.7,9.2,5.3,1.4,0.2,ns
SHEARWATER RCS,2023-04-25,0,12.6,8.8,5.4,2.1,0,ns
SHEARWATER RCS,2023-04-26,0,11.7,11.3,6.3,1.3,0,ns
SHEARWATER RCS,2023-04-27,0,11.8,9,6.2,3.4,2.4,ns
SHEARWATER RCS,2023-04-28,0,8.9,15.9,9.1,2.2,0.2,ns
SHEARWATER RCS,2023-04-29,0,12.5,8.9,5.5,2.1,0,ns
SHEARWATER RCS,2023-04-30,0,12.8,9.1,5.2,1.4,0,ns
SHEARWATER RCS,2023-05-01,0,11.9,6.9,6.1,5.4,68.3,ns
SHEARWATER RCS,2023-05-02,0,12.7,7.1,5.3,3.6,1,ns
SHEARWATER RCS,2023-05-03,0,14,5,4,2.9,1.7,ns
SHEARWATER RCS,2023-05-04,0,11.9,9.1,6.1,3,0.5,ns
SHEARWATER RCS,2023-05-05,0,11.4,11.8,6.6,1.5,NA,ns
SHEARWATER RCS,2023-05-06,0,8.2,19.8,9.8,-0.1,0,ns
SHEARWATER RCS,2023-05-07,0,11.5,13.5,6.5,-0.5,0,ns
SHEARWATER RCS,2023-05-08,0,6.3,20.3,11.7,3.1,0,ns
SHEARWATER RCS,2023-05-09,0,10.1,13.1,7.9,2.7,0,ns
SHEARWATER RCS,2023-05-10,0,8.1,17.1,9.9,2.8,0,ns
SHEARWATER RCS,2023-05-11,0,8.4,14.9,9.6,4.3,0,ns
SHEARWATER RCS,2023-05-12,0,10.1,11.5,7.9,4.4,0,ns
SHEARWATER RCS,2023-05-13,0,5,20,13,6,1.2,ns
SHEARWATER RCS,2023-05-14,0,8.7,13.6,9.3,5.1,0,ns
SHEARWATER RCS,2023-05-15,0,5.3,20.7,12.7,4.8,0,ns
SHEARWATER RCS,2023-05-16,0,4.2,19.9,13.8,7.7,0,ns
SHEARWATER RCS,2023-05-17,0,11,10.8,7,3.2,3.5,ns
SHEARWATER RCS,2023-05-18,0,10.3,13,7.7,2.4,0,ns
SHEARWATER RCS,2023-05-19,0,10.3,13.3,7.7,2.1,0,ns
SHEARWATER RCS,2023-05-20,0,6.3,17.9,11.7,5.5,0,ns
SHEARWATER RCS,2023-05-21,0,6.9,13.5,11.1,8.7,8.6,ns
SHEARWATER RCS,2023-05-22,0,8.1,16.6,9.9,3.1,0,ns
SHEARWATER RCS,2023-05-23,0,9.1,15.4,8.9,2.5,0,ns
SHEARWATER RCS,2023-05-24,0,10.7,10.4,7.3,4.3,0,ns
SHEARWATER RCS,2023-05-25,0,7.8,14.2,10.2,6.3,0,ns
SHEARWATER RCS,2023-05-26,0,9.3,11.5,8.7,6,0,ns
SHEARWATER RCS,2023-05-27,0,3.2,23.8,14.8,5.8,0,ns
SHEARWATER RCS,2023-05-28,1.8,0,27.1,19.8,12.4,0,ns
SHEARWATER RCS,2023-05-29,0,8.5,15.1,9.5,4,0,ns
SHEARWATER RCS,2023-05-30,0,8,17.5,10,2.4,0,ns
SHEARWATER RCS,2023-05-31,0,1.8,23.5,16.2,8.9,0,ns
SHEARWATER RCS,2023-06-01,3.9,0,32.9,21.9,10.9,0,ns
SHEARWATER RCS,2023-06-02,0,3.9,18.5,14.1,9.7,8.2,ns
SHEARWATER RCS,2023-06-03,0,9.1,10.5,8.9,7.3,22.5,ns
SHEARWATER RCS,2023-06-04,0,9.1,10.5,8.9,7.4,6.6,ns
SHEARWATER RCS,2023-06-05,0,8.1,11.9,9.9,8,63.2,ns
SHEARWATER RCS,2023-06-06,0,7.2,13.2,10.8,8.3,4.7,ns
SHEARWATER RCS,2023-06-07,0,7.8,11.9,10.2,8.5,0.2,ns
SHEARWATER RCS,2023-06-08,0,7,13.7,11,8.3,0,ns
SHEARWATER RCS,2023-06-09,0,4.2,18.5,13.8,9,0,ns
SHEARWATER RCS,2023-06-10,0,5.5,15,12.5,10,2.4,ns
SHEARWATER RCS,2023-06-11,0,1.4,23,16.6,10.1,0.2,ns
SHEARWATER RCS,2023-06-12,2.9,0,28.7,20.9,13.1,0,ns
SHEARWATER RCS,2023-06-13,0,0.7,23,17.3,11.7,0,ns
SHEARWATER RCS,2023-06-14,0,5.8,13.6,12.2,10.8,4,ns
SHEARWATER RCS,2023-06-15,0,4.2,17.8,13.8,9.9,0,ns
SHEARWATER RCS,2023-06-16,0,3.2,19.6,14.8,10,0,ns
SHEARWATER RCS,2023-06-17,0,5.4,14.9,12.6,10.2,30.2,ns
SHEARWATER RCS,2023-06-18,0,6.9,12,11.1,10.3,10,ns
SHEARWATER RCS,2023-06-19,0,5,16.3,13,9.6,0.2,ns
SHEARWATER RCS,2023-06-20,0,4.5,18.5,13.5,8.4,0,ns
SHEARWATER RCS,2023-06-21,0,2.8,21.3,15.2,9,0,ns
SHEARWATER RCS,2023-06-22,1.7,0,26.9,19.7,12.4,0,ns
SHEARWATER RCS,2023-06-23,0,0.7,23.2,17.3,11.4,0.2,ns
SHEARWATER RCS,2023-06-24,1.8,0,26.1,19.8,13.5,0.5,ns
SHEARWATER RCS,2023-06-25,2,0,25.4,20,14.6,0.2,ns
SHEARWATER RCS,2023-06-26,0,3.4,18.7,14.6,10.6,7.3,ns
SHEARWATER RCS,2023-06-27,0,3.8,17.1,14.2,11.3,4.5,ns
SHEARWATER RCS,2023-06-28,0,1.2,18.6,16.8,14.9,16.1,ns
SHEARWATER RCS,2023-06-29,0,1.8,17.4,16.2,14.9,14.8,ns
SHEARWATER RCS,2023-06-30,0,1.4,18.7,16.6,14.5,1.7,ns
SHEARWATER RCS,2023-07-01,0,1.6,18.1,16.4,14.7,0,ns
SHEARWATER RCS,2023-07-02,0,1,18.9,17,15,0.7,ns
SHEARWATER RCS,2023-07-03,0,1.2,17.9,16.8,15.7,10.1,ns
SHEARWATER RCS,2023-07-04,2.3,0,24.8,20.3,15.8,0.4,ns
SHEARWATER RCS,2023-07-05,2.9,0,26.2,20.9,15.6,13.5,ns
SHEARWATER RCS,2023-07-06,4.1,0,27.3,22.1,16.9,0,ns
SHEARWATER RCS,2023-07-07,5.6,0,30.7,23.6,16.5,0.3,ns
SHEARWATER RCS,2023-07-08,2,0,24.8,20,15.2,0.2,ns
SHEARWATER RCS,2023-07-09,3.1,0,24.9,21.1,17.2,0,ns
SHEARWATER RCS,2023-07-10,1.2,0,22,19.2,16.4,0,ns
SHEARWATER RCS,2023-07-11,0,0.8,18.4,17.2,16,17.4,ns
SHEARWATER RCS,2023-07-12,3.6,0,26.8,21.6,16.4,0.4,ns
SHEARWATER RCS,2023-07-13,2.9,0,26.5,20.9,15.3,0,ns
SHEARWATER RCS,2023-07-14,4,0,26.6,22,17.4,0.2,ns
SHEARWATER RCS,2023-07-15,3.6,0,24.4,21.6,18.8,0.2,ns
SHEARWATER RCS,2023-07-16,3.8,0,24.9,21.8,18.8,0,ns
SHEARWATER RCS,2023-07-17,4.7,0,26.4,22.7,19,1.4,ns
SHEARWATER RCS,2023-07-18,5.3,0,27,23.3,19.6,0.7,ns
SHEARWATER RCS,2023-07-19,3.1,0,23.2,21.1,19.1,4.1,ns
SHEARWATER RCS,2023-07-20,3.8,0,25.1,21.8,18.5,0,ns
SHEARWATER RCS,2023-07-21,2.2,0,22,20.2,18.5,30.6,ns
SHEARWATER RCS,2023-07-22,2.5,0,21.8,20.5,19.2,70.7,ns
SHEARWATER RCS,2023-07-23,4.3,0,24.6,22.3,20,0.2,ns
SHEARWATER RCS,2023-07-24,6,0,29.4,24,18.5,0,ns
SHEARWATER RCS,2023-07-25,4.7,0,27.6,22.7,17.8,0.2,ns
SHEARWATER RCS,2023-07-26,4.1,0,26.8,22.1,17.3,0.2,ns
SHEARWATER RCS,2023-07-27,3.6,0,25.5,21.6,17.7,0.3,ns
SHEARWATER RCS,2023-07-28,5.1,0,27.7,23.1,18.6,0.2,ns
SHEARWATER RCS,2023-07-29,6,0,29.4,24,18.6,0,ns
SHEARWATER RCS,2023-07-30,2,0,25,20,15,9.1,ns
SHEARWATER RCS,2023-07-31,1.1,0,24.2,19.1,13.9,NA,ns
SHEARWATER RCS,2023-08-01,1.3,0,25,19.3,13.6,0,ns
SHEARWATER RCS,2023-08-02,0.6,0,24.7,18.6,12.4,0,ns
SHEARWATER RCS,2023-08-03,0,1,22.3,17,11.7,0,ns
SHEARWATER RCS,2023-08-04,0,0.8,22.3,17.2,12,0,ns
SHEARWATER RCS,2023-08-05,0.5,0,21.4,18.5,15.7,120.6,ns
SHEARWATER RCS,2023-08-06,2,0,25,20,14.9,0,ns
SHEARWATER RCS,2023-08-07,1.8,0,24.3,19.8,15.2,0,ns
SHEARWATER RCS,2023-08-08,0.9,0,22.6,18.9,15.1,0,ns
SHEARWATER RCS,2023-08-09,1,0,20.3,19,17.8,12.6,ns
SHEARWATER RCS,2023-08-10,3.1,0,26.2,21.1,15.9,0,ns
SHEARWATER RCS,2023-08-11,1.2,0,21.9,19.2,16.4,11.3,ns
SHEARWATER RCS,2023-08-12,1.6,0,24.9,19.6,14.4,0,ns
SHEARWATER RCS,2023-08-13,0.2,0,22.7,18.2,13.7,27,ns
SHEARWATER RCS,2023-08-14,4.5,0,26.8,22.5,18.2,0.8,ns
SHEARWATER RCS,2023-08-15,1.1,0,21.6,19.1,16.7,0,ns
SHEARWATER RCS,2023-08-16,1.8,0,22.2,19.8,17.3,0,ns
SHEARWATER RCS,2023-08-17,1.6,0,22.4,19.6,16.8,0,ns
SHEARWATER RCS,2023-08-18,2.4,0,21.9,20.4,19,36.1,ns
SHEARWATER RCS,2023-08-19,2.7,0,24.2,20.7,17.2,0.2,ns
SHEARWATER RCS,2023-08-20,2.1,0,23.6,20.1,16.6,0,ns
SHEARWATER RCS,2023-08-21,0.1,0,20.2,18.1,16,1.7,ns
SHEARWATER RCS,2023-08-22,1.5,0,24.6,19.5,14.3,0,ns
SHEARWATER RCS,2023-08-23,0,0.6,22.4,17.4,12.3,0,ns
SHEARWATER RCS,2023-08-24,0,0.3,23.2,17.7,12.2,0,ns
SHEARWATER RCS,2023-08-25,0.7,0,22.5,18.7,14.8,0.2,ns
SHEARWATER RCS,2023-08-26,1.3,0,20.6,19.3,18,31.2,ns
SHEARWATER RCS,2023-08-27,1.2,0,23.3,19.2,15.1,15.5,ns
SHEARWATER RCS,2023-08-28,1.1,0,24.2,19.1,13.9,0,ns
SHEARWATER RCS,2023-08-29,0,0.1,21.6,17.9,14.1,0,ns
SHEARWATER RCS,2023-08-30,2.4,0,21.7,20.4,19.2,38,ns
SHEARWATER RCS,2023-08-31,0,2.4,20.7,15.6,10.5,0,ns
SHEARWATER RCS,2023-09-01,0,2.6,21.3,15.4,9.5,0.2,ns
SHEARWATER RCS,2023-09-02,0,0.8,24.3,17.2,10,0,ns
SHEARWATER RCS,2023-09-03,0,0.6,21.8,17.4,12.9,0,ns
SHEARWATER RCS,2023-09-04,0,0.7,20.9,17.3,13.7,0.4,ns
SHEARWATER RCS,2023-09-05,3.7,0,26.5,21.7,17,0,ns
SHEARWATER RCS,2023-09-06,3.7,0,24.1,21.7,19.4,1.3,ns
SHEARWATER RCS,2023-09-07,2.7,0,24.6,20.7,16.8,0.7,ns
SHEARWATER RCS,2023-09-08,2.6,0,24.6,20.6,16.6,0,ns
SHEARWATER RCS,2023-09-09,4.6,0,25.8,22.6,19.3,0,ns
SHEARWATER RCS,2023-09-10,4.6,0,26.1,22.6,19.2,0,ns
SHEARWATER RCS,2023-09-11,3.3,0,23.6,21.3,19,1.3,ns
SHEARWATER RCS,2023-09-12,NA,NA,NA,NA,NA,NA,ns
SHEARWATER RCS,2023-09-13,2.7,0,22.2,20.7,19.1,4.9,ns
SHEARWATER RCS,2023-09-14,2.1,0,20.7,20.1,19.4,43.3,ns
SHEARWATER RCS,2023-09-15,NA,NA,NA,NA,NA,NA,ns
SHEARWATER RCS,2023-09-16,0.6,0,21.6,18.6,15.5,12.5,ns
SHEARWATER RCS,2023-09-17,0.2,0,21.2,18.2,15.2,0.5,ns
SHEARWATER RCS,2023-09-18,0,0.8,22.9,17.2,11.5,0,ns
SHEARWATER RCS,2023-09-19,0,0.1,20,17.9,15.7,23.5,ns
SHEARWATER RCS,2023-09-20,0,2,18.1,16,13.9,0,ns
SHEARWATER RCS,2023-09-21,0,4,19.3,14,8.8,0,ns
SHEARWATER RCS,2023-09-22,0,5.5,18.4,12.5,6.6,0,ns
SHEARWATER RCS,2023-09-23,0,4.2,18.8,13.8,8.9,0,ns
SHEARWATER RCS,2023-09-24,0,3.5,18.1,14.5,10.9,0,ns
SHEARWATER RCS,2023-09-25,0,3.4,20.8,14.6,8.4,0,ns
SHEARWATER RCS,2023-09-26,0,5.8,18.4,12.2,5.9,0,ns
SHEARWATER RCS,2023-09-27,0,5.5,17.8,12.5,7.2,0.2,ns
SHEARWATER RCS,2023-09-28,0,2.3,23,15.7,8.4,0,ns
SHEARWATER RCS,2023-09-29,0,4.9,18.7,13.1,7.5,0,ns
SHEARWATER RCS,2023-09-30,0,3.7,17.1,14.3,11.5,0,ns
SHEARWATER RCS,2023-10-01,0,4.1,18.6,13.9,9.2,0,ns
SHEARWATER RCS,2023-10-02,0,1.5,22.7,16.5,10.3,0,ns
SHEARWATER RCS,2023-10-03,0,0.3,25.9,17.7,9.6,0,ns
SHEARWATER RCS,2023-10-04,0,4.2,16.9,13.8,10.6,0,ns
SHEARWATER RCS,2023-10-05,0,1.5,19.4,16.5,13.7,0,ns
SHEARWATER RCS,2023-10-06,0,0.7,20.3,17.3,14.4,0,ns
SHEARWATER RCS,2023-10-07,0,1.1,19.3,16.9,14.5,0,ns
SHEARWATER RCS,2023-10-08,0,4.1,19.2,13.9,8.6,18.6,ns
SHEARWATER RCS,2023-10-09,0,5,18,13,8,6.4,ns
SHEARWATER RCS,2023-10-10,0,5.3,18.1,12.7,7.3,0.5,ns
SHEARWATER RCS,2023-10-11,0,5.8,16.9,12.2,7.5,4,ns
SHEARWATER RCS,2023-10-12,0,3.7,18.2,14.3,10.3,0.2,ns
SHEARWATER RCS,2023-10-13,0,6.4,15,11.6,8.1,7.4,ns
SHEARWATER RCS,2023-10-14,0,5.2,15.4,12.8,10.3,0.3,ns
SHEARWATER RCS,2023-10-15,0,5.9,14.9,12.1,9.3,4.5,ns
SHEARWATER RCS,2023-10-16,0,6.9,13.9,11.1,8.4,5.7,ns
SHEARWATER RCS,2023-10-17,0,9.6,11.5,8.4,5.4,1.1,ns
SHEARWATER RCS,2023-10-18,0,10,13,8,2.9,0.2,ns
SHEARWATER RCS,2023-10-19,0,6.2,16.9,11.8,6.7,0,ns
SHEARWATER RCS,2023-10-20,0,5.2,17.2,12.8,8.3,0,ns
SHEARWATER RCS,2023-10-21,0,2,17.8,16,14.3,24.5,ns
SHEARWATER RCS,2023-10-22,0,6.4,14.9,11.6,8.4,1.1,ns
SHEARWATER RCS,2023-10-23,0,10.6,11.8,7.4,3,0.9,ns
SHEARWATER RCS,2023-10-24,0,10.9,13.1,7.1,1.2,0.2,ns
SHEARWATER RCS,2023-10-25,0,4.5,15.8,13.5,11.2,0,ns
SHEARWATER RCS,2023-10-26,0,2.4,20.8,15.6,10.5,0,ns
SHEARWATER RCS,2023-10-27,0,4.4,14.7,13.6,12.5,0,ns
SHEARWATER RCS,2023-10-28,0,1.1,21.2,16.9,12.7,0,ns
SHEARWATER RCS,2023-10-29,0,9.7,12.7,8.3,4,0,ns
SHEARWATER RCS,2023-10-30,0,14.4,4.6,3.6,2.6,19.8,ns
SHEARWATER RCS,2023-10-31,0,13.6,7.9,4.4,0.9,0,ns
SHEARWATER RCS,2023-11-01,0,17.6,1.7,0.4,-0.8,5.9,ns
SHEARWATER RCS,2023-11-02,0,16.5,4.9,1.5,-1.9,0.2,ns
