id,sample,location,sample_date,sample_time,grab_mclr,passive_mclr,spe_mclr,hour,wday,week,month,year,temp_field,do_field,cond_field,ph_field,tds_field,al,p,fe,chloride,nitrate,sulfate,uv_254,turbidity,colour,doc,toc,tn,cyra,mcye_ndaf,sxta,total_cyano,max_temp_c,mean_temp_c,min_temp_c,temp_7d_mean,temp_3d_mean,temp_7d_avgmax,temp_3d_avgmax,total_precip_mm,precip_7d_sum,precip_3d_sum,ul_p,ul_al,ul_fe,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr_lod,passive_mclr_lod,spe_mclr_lod,rdl_al,rdl_p,rdl_fe,rdl_chloride,rdl_nitrate,rdl_sulfate
NA,NA,Lake Banook 1,2022-05-24,00:00:00,0.2,0.05,NA,0,3,21,5,2022,15.8,9.81,811,7.61,638,8.925814065,6.905338622,39.94628564,824214.6,344.7,81826.7,0.05,0.44,8,NA,NA,NA,0,0,0,301074.7905991013,18.2,11.9,5.5,10.857142857142858,11.666666666666666,15.32857142857143,16.333333333333332,0,0.6000000000000001,0.6000000000000001,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-05-31,00:00:00,NA,0.05,NA,0,3,22,5,2022,17.6,8.56,840,7.86,636,7.654277228,19.68459592,38.12334871,776246.9,391.7,65152,0.0495,0.5065,8.5,2.2805,2.1955,NA,0,0,0,57882.57571499602,15.4,10.9,6.3,14.32857142857143,16.166666666666668,19.37142857142857,22.133333333333333,2.3,37.3,2.5,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-07,00:00:00,0.2,0.05,NA,0,3,23,6,2022,18.4,8.89,863,5.73,642,6.523977793,8.756989842,44.99485158,723214.5,308.5,66895.8,0.0475,0.4280000000000001,9,2.246,2.098,NA,0,0,0,35278.862439783414,19.7,13.9,8.2,12.457142857142857,13.133333333333333,17.142857142857142,17.566666666666666,0,0.5,0.5,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-14,00:00:00,0.2,0.05,NA,0,3,24,6,2022,19.9,7.25,821,7.84,627,6.845999553,7.694792324,37.82950215,612544.1,298,59942.4,0.0475,0.519,10.5,2.191,2.1195,NA,0,0,0,4618.570385068735,16.8,14.6,12.3,15.7,16.2,20.083333333333336,21,7.6,62.7,7.6,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-21,00:00:00,0.2,0.05,NA,0,3,25,6,2022,19.6,8.04,857,7.93,621,6.548527115,6.405689855,32.03860284,597859.2,365.5,59164.6,0.048,0.6945,16,2.265,2.205,NA,0,0,0,1415.5208290050507,15.9,12.8,9.7,14.583333333333334,13.3,18.616666666666667,16,0,20.099999999999998,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-28,00:00:00,0.2,0.05,NA,0,3,26,6,2022,21.3,8.13,876,7.79,612,4.983212615,8.404952872,25.54845101,NA,NA,NA,0.046,0.99,27.5,2.3819999999999997,2.345,NA,0,2.3064493839278195,NA,950.7237911297576,NA,NA,NA,16.516666666666666,17.6,19.71666666666667,20.85,NA,37.7,2.4,NA,NA,NA,45,45,NA,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-05,00:00:00,0.2,0.05,NA,0,3,27,7,2022,22.3,7.11,895,7.46,613,3.690584081,22.97904399,20.43985569,NA,NA,NA,0.05,1.88,34,2.394,NA,NA,0,0,0,204.99458872636967,26,19.5,12.9,18.685714285714287,19.2,23.57142857142857,24.366666666666667,0,1.1,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-12,00:00:00,0.2,0.05,NA,0,3,28,7,2022,22.1,6.56,886,7.52,610,4.105158743,5.770491167,13.9655538,NA,NA,NA,0.049,1.33,30,2.262,2.2685,NA,0,239.47055524857555,0,135010.91542261315,21.4,16.6,11.8,17.085714285714285,17.133333333333333,22.285714285714285,22.8,0,31.8,0.2,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-19,00:00:00,0.2,0.05,NA,0,3,29,7,2022,23.5,6.54,909,7.27,608,4.991766798,29.79706069,10.46144987,NA,NA,NA,0.046,0.7455,14.5,2.25,2.097,NA,0,24.87114917280496,5471467075.3404665,119220.13252312296,21,18.5,16,19.614285714285714,19.366666666666667,24.285714285714285,23.46666666666667,21.8,26.3,21.8,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-26,00:00:00,0.2,0.05,NA,0,3,30,7,2022,24.9,7.77,933,7.85,609,4.351207661,7.161472543,12.04172534,762546.5,136.9,88993.5,0.0465,0.977,15.5,2.1855,2.1195,NA,0,98.2629221285269,0,8544.227195754613,25.9,20.4,14.8,20.9,20.9,26.214285714285715,26.166666666666668,5.9,6.1000000000000005,6.1000000000000005,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-02,00:00:00,0.2,0.05,NA,0,3,31,8,2022,24.2,7.2,924,7.52,611,15.61524233,11.62213339,23.6344029,672922.8,235.2,82136.6,0.046,2.495,14.5,2.497,2.3185,NA,0,61.26944104002633,0,235133.26358406025,22.8,18.7,14.6,19.185714285714287,20,23.728571428571428,24.7,4,15.899999999999999,4,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-09,00:00:00,0.2,0.05,NA,0,3,32,8,2022,25,7.45,937,7.75,609,12.10694868,8.546204949,9.967467566,564643.2,148.2,54780.4,0.044,1.56,16,2.292,2.1605,NA,63.58031175165543,244.13665973874333,0,233457.6073240372,23.8,20.1,16.4,20.7,20.96666666666667,25.514285714285716,25.400000000000002,0,0.7,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-16,00:00:00,0.2,0.05,NA,0,3,33,8,2022,24.3,8.19,909,7.53,599,15.4758767,7.579013413,12.47813176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185.77340968375185,0,107775.25046116476,NA,NA,NA,19.84,20.2,23.48,24.8,NA,46,44.2,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-23,00:00:00,0.2,0.05,NA,0,3,34,8,2022,24.4,7.72,902,7.48,594,9.747818371,5.500987969,7.166846353,NA,NA,NA,0.046,0.212,2.5,2.527,2.512,0.23935,0,0,0,105647.53462346848,25.6,21.6,17.6,21.775,21.133333333333333,26.400000000000002,25.166666666666668,16.4,16.4,16.4,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-30,00:00:00,0.2,0.05,NA,0,3,35,8,2022,24.1,6.42,894,7.47,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.095,2.179,0.1878,0,585.9808991018577,0,288424.8011652058,NA,NA,NA,21.333333333333332,20.85,25.183333333333334,24.65,NA,1,1,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-09-06,00:00:00,0.2,0.05,NA,0,3,36,9,2022,22.9,6.61,882,7.35,597,7.898182155,5.226929897,5.485977048,269951.8,152.1,18597.6,NA,NA,NA,NA,NA,NA,0,98.37810046206756,0,262500.35738595156,22.1,17.8,13.6,18.84285714285714,17.966666666666665,23.5,22.5,1.5,2.4,1.5,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-09-13,00:00:00,0.2,0.05,NA,0,3,37,9,2022,22.2,7.35,874,7.43,600,5.180475821,6.805240148,5.332461272,573763.1,113.6,62934.8,0.046,0.8935,3.5,2.097,2.2365,0.131,0,115.79546249122396,0,145810.49938861222,23.8,19.5,15.3,18.92857142857143,20.166666666666668,24.3,26,0,0,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-09-20,00:00:00,0.2,NA,NA,0,3,38,9,2022,19,7.75,816,7.12,597,6.044877839,31.21275736,5.943006099,233500.5,65.4,17367.5,0.01999999999999999,0.372,1,2.396,2.351,0.19395,0,104.79462571458512,0,167437.87492480138,16.9,14,11.1,15.3,13.733333333333333,19.042857142857144,17.066666666666666,12.3,17.700000000000003,17.700000000000003,NA,NA,NA,45,45,45,45,0.2,NA,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-10-04,00:00:00,0.2,0.05,NA,0,3,40,10,2022,15.1,9.21,690,7.2,553,NA,NA,NA,NA,NA,NA,0.056,0.249,0.5,NA,NA,NA,0,6.561374549536095,0,28619.08392843671,15.7,9.7,3.7,11.985714285714286,9.333333333333334,16.9,14.4,0,0.2,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-10-11,00:00:00,0.2,0.05,NA,0,3,41,10,2022,14.7,8.58,664,7.31,538,8.82677468,9.22679522,6.120120838,NA,NA,NA,0.0525,0.231,3,2.132,2.252,0.1949,0,0,0,39708.65855815579,15.5,11.2,6.9,12.185714285714285,9.766666666666666,16.4,14.799999999999999,0.2,53.900000000000006,0.4,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-10-18,00:00:00,0.2,0.05,NA,0,3,42,10,2022,15.9,10.12,685,7.59,538,NA,NA,NA,NA,NA,NA,0.056,0.068,1.5,2.112,2.281,0.1556,0,182.80030850018792,0,7103.302048234126,18.8,16,13.1,14.485714285714286,15.133333333333333,18.2,18.900000000000002,0,0.7,0.7,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-10-25,00:00:00,0.2,0.05,NA,0,3,43,10,2022,15.7,8.28,666,7.32,527,6.781844243,19.7356848,11.05658638,NA,NA,NA,0.0545,0.55,2.5,2.148,2.535,0.2357,0,180.10587737860425,0,35953.8356133848,17.2,15.8,14.3,13.385714285714286,13.966666666666667,17.114285714285714,17.066666666666666,0.2,31.400000000000002,6.300000000000001,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,b1_gr_1101,Lake Banook 1,2022-11-01,00:00:00,0.2,0.05,NA,0,3,44,11,2022,14.6,9.28,627,7.92,510,7.269661132,4.248537832,13.3109273,209783.8,74.9,10580.6,0.0505,0.4795,3.5,2.332,2.214,0.14095,0,0,0,NA,15.1,12.9,10.6,11.585714285714285,11.966666666666667,16.857142857142858,17.5,2.7,34.4,2.7,NA,NA,NA,90,90,90,90,0.2,0.05,NA,2,5,2,12,10,9
NA,b1_gr_1108,Lake Banook 1,2022-11-08,00:00:00,0.2,NA,NA,0,3,45,11,2022,13.2,8.4,540,7.64,453.6,5.701066594,82.38382177,19.29855728,NA,NA,NA,0.055,0.7505,3,2.459,2.21,0.1452,0,0,0,NA,10,6.7,3.3,12.414285714285715,12.633333333333333,17.014285714285712,16.4,0,1.8,1.8,NA,NA,NA,90,90,90,90,0.2,NA,NA,2,5,2,12,10,9
kpazd-1,b1_053023,Lake Banook 1,2023-05-30,09:26:00,0,NA,NA,9,3,22,5,2023,15.8,12.51,694,7.34,547,13.136174335291468,9.947506339257515,34.123936560383,866270.5844,106.2213,38574.3779,0.02,0.6309999999999999,5,2.468,2.522,0.09671,0,0,0,1180.2571909316707,17.5,10,2.4,11.471428571428572,13.1,17.085714285714285,19.9,0,0,0,250,250,250,45,45,45,45,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
hlcis-27,b1_060623,Lake Banook 1,2023-06-06,09:12:00,0,0,NA,9,3,23,6,2023,15.1,8.25,693,8.33,555,13.64536254412816,3.0760105432737195,39.351416175079095,401911.9888,96.5273,30672.30754507529,0.013,0.5793333333333334,5,2.441,2.46,0.09274,0,0,0,7830.931991092386,13.2,10.8,8.3,12.957142857142857,9.866666666666667,17.285714285714285,11.866666666666667,4.7,105.2,74.5,250,250,1000,18,18,18,18,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
kvxwo-71,b1_061323,Lake Banook 1,2023-06-13,00:00:00,0,0,NA,0,3,24,6,2023,18.8,8.95,730,7.39,538,13.138772107507112,7.974992930286023,57.45613783486812,734922.7027,171.5866,34647.8337,0.05433333333333334,0.5066666666666667,7.666666666666667,2.638,2.524,0.1073,0,0,0,172.78718535106185,23,17.3,11.7,14.614285714285714,18.266666666666666,19.114285714285714,24.9,0,2.8000000000000003,0.2,250,250,250,9,9,9,9,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
klwja-103,b1_062023,Lake Banook 1,2023-06-20,09:11:00,0,NA,NA,9,3,25,6,2023,17.4,7.34,698,7.21,531,10.794423796557712,8.524846180762093,50.81735913168947,NA,NA,NA,0.3436666666666666,0.49899999999999994,13,2.638,2.606,0.1441,0,0,0,14236.72344837398,18.5,13.5,8.4,13,12.533333333333333,16.1,15.6,0,44.400000000000006,10.2,250,1000,1000,18,18,18,18,0.22114,NA,NA,2,5,2,NA,NA,NA
nbqar-123,b1_062723,Lake Banook 1,2023-06-27,09:35:00,0,0,NA,9,3,26,6,2023,20.1,7.75,741,6.99,532,6.265839737862942,7.951116576078193,52.30361387229834,240304.8611,338.8168,16965.8006,0.07933333333333333,0.5036666666666667,14.666666666666666,NA,2.521,0.1151,0,0,0,9809.56395765593,17.1,14.2,11.3,17.257142857142856,16.266666666666666,22.67142857142857,20.4,4.5,12.7,12,250,1000,1000,9,9,9,9,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
ybjei-148,b1_070423,Lake Banook 1,2023-07-04,09:34:00,0,NA,NA,9,3,27,7,2023,20.2,8.16,725,7.29,519,7.399180529559976,9.350952010237249,99.17136288538364,NA,NA,NA,0.08966666666666667,0.5553333333333333,5,2.404,2.518,0.1383,0,0,0,18391.19582216033,24.8,20.3,15.8,17.15714285714286,18.033333333333335,19.2,20.53333333333333,0.4,43.800000000000004,11.2,250,1000,1000,3.6,3.6,3.6,3.6,0.22114,NA,NA,2,5,2,NA,NA,NA
hfdbz-167,b1_071123,Lake Banook 1,2023-07-11,09:07:00,0,0,NA,9,3,28,7,2023,22.9,7.26,798,7.51,538,5.482872429287031,8.233937378821578,78.1939305572774,NA,NA,NA,0.06633333333333334,0.956,5.666666666666667,2.726,2.695,0.1749,0,0,3.1987450552120036,34557.02844650535,18.4,17.2,16,20.585714285714285,19.166666666666668,24.9,21.766666666666666,17.4,31.4,17.4,250,1000,1000,3.6,3.6,3.6,3.6,0.22114,0.00631578947368421,NA,2,5,2,NA,NA,NA
ykvpi-187,b1_071823,Lake Banook 1,2023-07-18,08:58:00,0,0,NA,8,3,29,7,2023,24.5,6.41,763,7.44,502,4.077240919756926,11.508872521984644,92.22045498581303,264337.7623,89.3135,19186.176,0.06733333333333334,0.7126666666666667,2.3333333333333335,2.904,2.933,0.2106,0,0,0,31476.285829191213,27,23.3,19.6,21.985714285714288,22.6,26.085714285714285,26.099999999999998,0.7,2.9000000000000004,2.0999999999999996,250,1000,1000,3,3,3,3,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
omuiv-224,b1_072523,Lake Banook 1,2023-07-25,09:09:00,0,0,NA,9,3,30,7,2023,25.2,4.69,691,7.18,447.3,15.007196428535275,6.910189333577381,76.15037931672559,262564.8187,374.4801,21238.9008,0.07266666666666667,2.8166666666666664,8,3.083,2.765,0.2469,0,0,0,24459.483067084748,27.6,22.7,17.8,21.8,23,24.814285714285713,27.2,0.2,105.80000000000001,0.4,250,1000,1000,1.7647058823529411,1.7647058823529411,1.7647058823529411,1.7647058823529411,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
eilfc-255,b1_080123,Lake Banook 1,2023-08-01,00:00:00,0,0,NA,0,3,31,8,2023,24.9,5.8,648,7.74,422.4,3.5872555277279616,6.8422452924841926,29.890614391122146,246619.5123,440.8202,26455.2946,0.07866666666666666,1.1063333333333334,3.6666666666666665,2.996,2.929,0.2497,0,0,0,55095.570937233046,25,19.3,13.6,21.314285714285717,19.46666666666667,26.228571428571428,24.733333333333334,0,9.799999999999999,9.1,250,1000,1000,2.25,2.25,2.25,2.25,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
gjpis-313,b1_080823,Lake Banook 1,2023-08-08,00:00:00,0,0,NA,0,3,32,8,2023,23.3,5.9,595,6.83,400.1,37.923584047071685,18.96295990098041,143.6213131436235,NA,NA,NA,0.08533333333333333,2.0660000000000003,8,3.773,4.482,0.3604,0,0,0,35872.7659622994,22.6,18.9,15.1,18.571428571428573,19.566666666666666,23.228571428571428,23.96666666666667,0,120.6,0,250,1000,1000,5.538461538461538,5.538461538461538,5.538461538461538,5.538461538461538,0.22114,0.00631578947368421,NA,2,5,2,NA,NA,NA
sqtik-348,b1_081523,Lake Banook 1,2023-08-15,09:03:00,0,NA,NA,9,3,33,8,2023,23,6.06,530,7.92,538.1,9.891307530896627,17.657380560613735,36.347005216132075,NA,NA,NA,0.094,1.094666666666667,6.333333333333333,3.056,3.078,0.2998,0,0,0,73313.32628222775,21.6,19.1,16.7,19.814285714285713,19.933333333333334,23.485714285714284,23.7,0,51.699999999999996,27.8,250,1000,1000,3,3,3,3,0.22114,NA,NA,2,5,2,NA,NA,NA
plqhy-368,b1_082223,Lake Banook 1,2023-08-22,09:05:00,0,0,NA,9,3,34,8,2023,21.7,6.79,528,NA,365.6,4.136696372523342,7.326980535556346,18.477798790130983,NA,NA,NA,0.09066666666666667,1.415,8.333333333333334,2.999,3.013,0.3188,172.31695689652346,20.37931191022396,3426.5832116155784,39183.19266556761,24.6,19.5,14.3,19.742857142857144,19.233333333333334,22.728571428571428,22.8,0,38.00000000000001,1.7,250,1000,1000,3,3,3,3,0.22114,0.00631578947368421,NA,2,5,2,NA,NA,NA
wjkmy-406,b1_082923,Lake Banook 1,2023-08-29,09:07:00,0,0,NA,9,3,35,8,2023,21.8,7.45,535,5.54,370.2,3.2323029121274685,6.420591916137409,9.80446419721226,NA,NA,NA,0.08633333333333333,1.0393333333333332,8,3.1670000000000003,2.909,0.2907,48166.89993781217,2.6695925586238665,29.266285142568822,4773.79421706569,21.6,17.9,14.1,18.47142857142857,18.733333333333334,22.542857142857144,23.033333333333335,0,46.9,15.5,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,0.00631578947368421,NA,2,5,2,NA,NA,NA
ntypw-434,b1_090523,Lake Banook 1,2023-09-05,09:17:00,0,0,NA,9,3,36,9,2023,21.2,7.94,507,7.14,356.4,6.786474792411102,25.479539008271527,12.80281942851962,NA,NA,NA,NA,0.8766666666666666,NA,NA,3.297,0.3747,18.24010131090782,0,0,66735.52499304693,26.5,21.7,17,17.857142857142858,18.8,22.457142857142856,23.066666666666666,0,38.6,0.4,250,1000,1000,3,3,3,3,0.22114,0.00631578947368421,NA,2,5,2,NA,NA,NA
cugjc-599,b1_091223,Lake Banook 1,2023-09-12,10:08:00,NA,0,NA,10,3,37,9,2023,23.5,6.55,527,7.01,352.5,NA,NA,NA,NA,NA,NA,0.07666666666666666,0.7183333333333334,6,2.9579999999999997,3.175,0.3049,0,0.5064786008102071,0,26578.205509046897,NA,NA,NA,21.583333333333336,21.950000000000003,24.8,24.85,NA,3.3,1.3,NA,NA,NA,2,2,2,2,0.22114,0.00631578947368421,NA,NA,NA,NA,NA,NA,NA
embqu-629,b1_091923,Lake Banook 1,2023-09-19,09:32:00,NA,0,NA,9,3,38,9,2023,20.3,6.65,465.6,6.95,332.4,NA,NA,NA,NA,NA,NA,0.09166666666666667,2.1999999999999997,9.333333333333334,3.171,3.28,0.3394,0,13.989882075904587,0,133812.5081550882,20,17.9,15.7,18.78333333333333,17.766666666666666,21.433333333333334,21.366666666666667,23.5,84.69999999999999,24,NA,NA,NA,3,3,3,3,0.22114,0.00631578947368421,NA,NA,NA,NA,NA,NA,NA
qyypg-662,b1_092623,Lake Banook 1,2023-09-26,09:00:00,0,0,NA,9,3,39,9,2023,18,6.97,435.9,7.34,327.4,6.438877065153763,6.772734781327327,20.15327623236468,120525.77778219712,504.6721087050536,8198.123882392389,0.08633333333333333,0.6626666666666666,1.6666666666666667,3.0509999999999997,3.123,0.34509999999999996,0,15.466728856966418,0,38042.29998511924,18.4,12.2,5.9,13.942857142857143,13.766666666666666,18.84285714285714,19.1,0,0,0,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
pnipb-692,b1_100323,Lake Banook 1,2023-10-03,09:33:00,0,NA,NA,9,3,40,10,2023,17.8,5.94,433,7.3,326.6,5.637154332975785,5.548528157278695,15.53769041574188,179475.03220502613,667.953658506651,8497.138773385801,0.08800000000000001,0.45166666666666666,4,3.291,3.127,0.33759999999999996,0,15.924260414239896,0,23946.995367516764,25.9,17.7,9.6,14.814285714285715,16.03333333333333,20.542857142857144,22.4,0,0.2,0,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,NA,NA,2,5,2,12,10,9
ndrcn-721,NA,Lake Banook 1,2023-10-10,09:15:00,0,0,NA,9,3,41,10,2023,17.7,7.09,429,7.64,324,4.510345325038508,4.951102176597461,18.481184258218583,258382.82616308573,942.4611036149996,18985.341581758807,0.083,0.45733333333333337,7.333333333333333,3.002,3.026,0.3211,NA,NA,NA,NA,18.1,12.7,7.3,14.871428571428572,13.2,18.742857142857144,18.433333333333334,0.5,25.5,25.5,250,1000,1000,NA,NA,NA,NA,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
lozav-758,b1_101723,Lake Banook 1,2023-10-17,08:35:00,0,0,NA,8,3,42,10,2023,15.2,8.85,403.1,7.1,322.2,7.151580833475008,11.735626201016848,27.54450538048357,269575.06159931165,952.2542387694896,17601.587406789415,0.08566666666666667,0.5693333333333334,30,2.989,3.049,0.2762,0,15.874616255947675,0,34733.53799624152,11.5,8.4,5.4,11.785714285714286,10.533333333333333,15.114285714285714,13.433333333333334,1.1,23.200000000000003,11.299999999999999,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
lpmak-803,b1_102423,Lake Banook 1,2023-10-24,09:00:00,NA,0,NA,9,3,43,10,2023,13.7,8.19,380.1,7.69,315.2,7.33516375657887,24.832331620132777,30.137543060824843,242562.68598082708,887.9810255051277,18450.78740377421,0.082,0.5306666666666667,6,3.0759999999999996,3.0159999999999996,0.2891,0,0,0,34821.17861629271,13.1,7.1,1.2,10.67142857142857,8.7,14.957142857142857,13.266666666666667,0.2,26.9,2.2,10000,1000,10000,1.8,1.8,1.8,1.8,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
kfcpv-825,b1_103123,Lake Banook 1,2023-10-31,08:44:00,0,NA,NA,8,3,44,10,2023,12,8.61,314,8.3,272.2,11.524484712907697,66.39648387502923,45.9519267469427,362.12528131252054,742.1119979562386,16685.29709506182,0.11866666666666666,0.681,9.333333333333334,2.8319999999999994,2.983,0.2326,0,0,0,0,7.9,4.4,0.9,10.842857142857143,5.433333333333334,13.957142857142857,8.4,0,19.8,19.8,10000,1000,10000,1.8,1.8,1.8,1.8,0.22114,NA,NA,2,5,2,12,10,9
psjfo-847,b1_110723,Lake Banook 1,2023-11-07,08:45:00,0,NA,NA,8,3,45,11,2023,9.9,1.203,332.1,5.79,300.1,9.562142987556031,12.712869775426752,41.94901099948523,256355.9267235975,786.8471212139677,17162.808063428653,0.08800000000000001,0.695,7.333333333333333,3.199,3.047,0.239,0,0,0,16458.417219986943,12.8,7.6,2.4,5.357142857142857,6.166666666666667,9.028571428571428,10.633333333333333,3.8,10.9,3.8,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,NA,NA,2,5,2,12,10,9
mpghe-860,b1_111423,Lake Banook 1,2023-11-14,08:55:00,0,NA,NA,8,3,46,11,2023,7.7,11.34,310.6,7.98,301.4,8.589328060135127,240.02303768573876,33.27602478174829,290789.9174492064,910.933707583862,21815.494917866617,0.08166666666666667,0.507,1,3.433,3.449,0.28790000000000004,0,0,0,24333.846667959133,5.4,2.8,0.2,4.057142857142857,2.3666666666666667,7.6571428571428575,5.566666666666667,0,1.5,0,250,1000,1000,1.8,1.8,1.8,1.8,0.22114,NA,NA,2,5,2,12,10,9
fdpmg-880,b1_112123,Lake Banook 1,2023-11-21,09:20:00,0,NA,NA,9,3,47,11,2023,2.1,12.34,240.7,7.35,278,NA,NA,NA,233605.38094488307,646.5739080646996,16535.946773130967,0.08066666666666666,0.745,7,3.0519999999999996,3.086,0.24090000000000003,0,0,0,27890.081494225025,3.7,0.4,-2.8,4.1000000000000005,1.5666666666666669,8.257142857142856,4.9,0,40.5,0.5,NA,NA,NA,1.8,1.8,1.8,1.8,0.22114,NA,NA,NA,NA,NA,12,10,9
maqkr-1031,NA,Lake Banook 1,2024-05-14,09:15:00,0,NA,NA,9,3,20,5,2024,13.1,11.15,711,7.75,NA,NA,NA,NA,305737.3,1002.7214,2973.8166,0.05566666666666667,1.33,2.3333333333333335,2.4179999999999997,2.3389999999999995,0.16140000000000002,NA,NA,NA,NA,22.4,12.2,1.9,8.342857142857143,9.066666666666666,12.457142857142857,15,0,14.7,0,NA,NA,NA,NA,NA,NA,NA,0.22114,NA,NA,NA,NA,NA,12,10,9
qinfb-1040,NA,Lake Banook 1,2024-05-21,08:40:00,0,NA,NA,8,3,21,5,2024,15.01,10.64,575,8.07,463.5,NA,NA,NA,224224,490.5613,47438.3817,0.04900000000000001,0.9616666666666666,5,2.521,2.255,0.1391,NA,NA,NA,NA,17,11.6,6.1,10.457142857142857,9.733333333333333,14.342857142857143,13.533333333333333,NA,3.4,3.1999999999999997,NA,NA,NA,NA,NA,NA,NA,0.22114,NA,NA,NA,NA,NA,12,10,9
wgblk-1073,NA,Lake Banook 1,2024-05-28,00:02:00,0,NA,NA,0,3,22,5,2024,18.02,9.74,616,7.76,461.8,NA,NA,NA,231317.8,403.8209,42458.6788,0.05466666666666667,0.8029999999999999,3.3333333333333335,2.069,2.048,0.14720000000000005,NA,NA,NA,NA,13.8,11.7,9.6,14.257142857142858,11.433333333333334,18.442857142857143,14.066666666666666,28.1,34.7,29,NA,NA,NA,NA,NA,NA,NA,0.22114,NA,NA,NA,NA,NA,12,10,9
wsavx-1107,NA,Lake Banook 1,2024-06-04,09:35:00,0,0,NA,9,3,23,6,2024,17.6,9.466,607,7.59,458.4,27.750522651024585,10.647055030583324,86.98865622259576,216768.8,410.3544,1917.0803,0.05433333333333334,2.283333333333333,4.333333333333333,1.952,1.764,0.15840000000000004,NA,NA,NA,NA,23.2,17.4,11.6,13.9,14.2,18.428571428571427,18.166666666666668,0,5,1.5,1000,1000,1000,NA,NA,NA,NA,0.22114,0.00631578947368421,NA,2,5,2,12,10,9
atchw-1131,NA,Lake Banook 1,2024-06-11,08:55:00,0,NA,NA,8,3,24,6,2024,19.3,9.13,638,7.65,465.4,18.383863563763864,6.6150984569872495,69.23324703889351,226286.2,351.6349,3580.2942,0.04933333333333333,1.1133333333333333,3.6666666666666665,2.08,2.181,0.1771,NA,NA,NA,NA,20.2,15.6,11,15.385714285714286,16.1,19.5,20.7,0,4.8,4.3,1000,1000,1000,NA,NA,NA,NA,0.22114,NA,NA,2,5,2,12,10,9
